Date,Open,High,Low,Close,Adj Close,Volume,Return,Volatility,Market_Cap,P_E_Ratio
2022-06-28,2482.10009765625,2533.949951171875,2482.10009765625,2527.699951171875,2520.112548828125,6263867,,,17114571210752,28.967169
2022-06-29,2507.199951171875,2597.0,2501.0,2580.14990234375,2572.405029296875,8863172,2.0750070097346196,,17114571210752,28.967169
2022-06-30,2580.0,2615.89990234375,2566.0,2595.64990234375,2587.858642578125,10666627,0.6007402897761915,,17114571210752,28.967169
2022-07-01,2574.89990234375,2592.0,2365.0,2408.699951171875,2401.4697265625,37841671,-7.202433232735583,,17114571210752,28.967169
2022-07-04,2378.949951171875,2442.0,2366.10009765625,2413.699951171875,2406.454833984375,19317335,0.20758085695014028,,17114571210752,28.967169
2022-07-05,2423.0,2464.89990234375,2417.10009765625,2433.25,2425.946044921875,8144239,0.8099618520783114,,17114571210752,28.967169
2022-07-06,2420.10009765625,2441.949951171875,2388.0,2411.85009765625,2404.6103515625,11050026,-0.8794781606390578,,17114571210752,28.967169
2022-07-07,2425.89990234375,2433.25,2375.0,2388.10009765625,2380.931640625,10753423,-0.9847212321810295,,17114571210752,28.967169
2022-07-08,2418.0,2418.0,2382.550048828125,2391.39990234375,2384.2216796875,8773162,0.13817698390190536,,17114571210752,28.967169
2022-07-11,2376.5,2428.800048828125,2370.0,2423.89990234375,2416.6240234375,6390604,1.3590366031272172,,17114571210752,28.967169
2022-07-12,2404.0,2439.699951171875,2404.0,2420.449951171875,2413.1845703125,4974502,-0.14233059577002383,,17114571210752,28.967169
2022-07-13,2427.300048828125,2434.0,2373.0,2377.550048828125,2370.413330078125,6564435,-1.77239369576635,,17114571210752,28.967169
2022-07-14,2388.0,2433.949951171875,2376.949951171875,2397.14990234375,2389.954345703125,7831798,0.8243718581354642,,17114571210752,28.967169
2022-07-15,2415.0,2415.0,2383.10009765625,2401.800048828125,2394.590576171875,4431880,0.19398647034247762,,17114571210752,28.967169
